Pitch Type,Hand,Average IVB,Average HB
Fastball,R,15.45107034,7.762996942
Fastball,L,15.31875,7.957142857
Sinker,R,8.236563877,14.92202643
Sinker,L,8.497530864,15.09506173
Cutter,R,8.076056338,2.450704225
Cutter,L,7.780487805,1.980487805
Splitter,R,3.008219178,11.04520548
Splitter,L,6.190909091,9.336363636
Changeup,R,4.269565217,14.3951087
Changeup,L,5.053012048,14.19638554
Curveball,R,-10.34502924,8.907017544
Curveball,L,-9.996491228,8.189473684
Slider,R,1.724892704,4.626609442
Slider,L,2.136585366,3.836585366
Sweeper,R,1.157575758,13.89772727
Sweeper,L,0.7720930233,13.12790698